date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:44	154049/154049	---M--	200	added ('OK')	image/png	etag:%224cc0123-259c1-517f7d4acab00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mackbook-pro.png	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mackbook-pro.png	(from http://bootstraplovers.com/templates/bizwrap-v1.6/home-animation.html)
21:42:46	445739/445739	---M--	200	added ('OK')	image/jpeg	etag:%224cc011e-6cd2b-517f7d4511d80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/img-5.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/img-5.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/style.css)
21:43:01	503450/503450	---M--	200	added ('OK')	image/jpeg	etag:%224cc011d-7ae9a-517f7d4329900%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/img-4.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/img-4.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/style.css)
21:43:01	107981/107981	---M--	200	added ('OK')	image/jpeg	etag:%224cc19a7-1a5cd-517f7dd04e600%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/work/work-8.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/work/work-8.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio.html)
21:43:30	287160/287160	---M--	200	added ('OK')	image/jpeg	etag:%224cc0129-461b8-517f7d9ae6800%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-1.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-1.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:43:35	207054/207054	---M--	200	added ('OK')	image/jpeg	etag:%224cc012a-328ce-517f7d9ccec80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-10.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-10.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:43:55	334032/334032	---M--	200	added ('OK')	image/jpeg	etag:%224cc0e86-518d0-517f7daa28c00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-5.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-5.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:44:13	540953/540953	---M--	200	added ('OK')	image/jpeg	etag:%224cc0e87-84119-517f7dadf9500%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-6.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-6.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:44:31	373839/373839	---M--	200	added ('OK')	image/jpeg	etag:%224cc0e6b-5b44f-517f7da46fe80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-2.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-2.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:44:57	510282/510282	---M--	200	added ('OK')	image/jpeg	etag:%224cc0e8a-7c94a-517f7db782b80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-9.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-9.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:05	432645/432645	---M--	200	added ('OK')	image/jpeg	etag:%224cc0e84-69a05-517f7da658300%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-3.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-3.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:06	7199/7199	---M--	200	added ('OK')	application/javascript	etag:%224cc19c6-1c1f-517f7d526bd00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/js/jquery-migrate.min.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/js/jquery-migrate.min.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:08	5467/5467	---M--	200	added ('OK')	application/javascript	etag:%224cc19da-155b-517f7d563c600%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/js/jquery.masonry.min.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/js/jquery.masonry.min.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:08	870/870	---M--	200	added ('OK')	application/javascript	etag:%224cc19f2-366-517f7d5824a80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/js/masonary-custom.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/js/masonary-custom.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:09	5307/5307	---M--	200	added ('OK')	application/javascript	etag:%224cc19d9-14bb-517f7d5454180%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/js/jquery.hoverdir.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/js/jquery.hoverdir.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:10	76846/76846	---M--	200	added ('OK')	image/jpeg	etag:%224cc012b-12c2e-517f7d9eb7100%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-11.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-11.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:25	96679/96679	---M--	200	added ('OK')	image/jpeg	etag:%224cc0117-179a7-517f7d8f74d00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/blog/blog-3.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/blog/blog-3.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/blog-full.html)
21:45:41	94125/94125	---M--	200	added ('OK')	image/jpeg	etag:%224cc0125-16fad-517f7d9345600%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/1.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/1.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/blog-masonry.html)
21:45:42	18130/18130	---M--	200	added ('OK')	text/css	etag:%224cc0104-46d2-517f7d174b180%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/sweetalert.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/css/sweetalert.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/shortcodes.html)
21:45:43	53655/53655	---M--	200	added ('OK')	text/css	etag:%224cc0101-d197-517f7d174b180%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/css/jquery.mCustomScrollbar.css	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/css/jquery.mCustomScrollbar.css	(from http://bootstraplovers.com/templates/bizwrap-v1.6/shortcodes.html)
21:45:46	16141/16141	---M--	200	added ('OK')	application/javascript	etag:%224cc1a0f-3f0d-517f7d5bf5380%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/js/sweetalert.min.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/js/sweetalert.min.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/shortcodes.html)
21:45:47	464225/464225	---M--	200	added ('OK')	image/jpeg	etag:%224cc0e88-71561-517f7dafe1980%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-7.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-7.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:48	583628/583628	---M--	200	added ('OK')	image/jpeg	etag:%224cc0e89-8e7cc-517f7db3b2280%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-8.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/img-8.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/portfolio-masonry.html)
21:45:53	40316/40316	---M--	200	added ('OK')	application/javascript	etag:%224cc19db-9d7c-517f7d563c600%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/js/jquery.mCustomScrollbar.concat.min.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/js/jquery.mCustomScrollbar.concat.min.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/shortcodes.html)
21:46:06	339876/339876	---M--	200	added ('OK')	image/jpeg	etag:%224cc0126-52fa4-517f7d952da80%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/2.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/mas-images/2.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/blog-masonry.html)
21:46:07	119153/119153	---M--	200	added ('OK')	image/jpeg	etag:%224cc14df-1d171-517f7dbb53480%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/team/team-2.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/team/team-2.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/about.html)
21:46:07	127982/127982	---M--	200	added ('OK')	image/jpeg	etag:%224cc0e8d-1f3ee-517f7dbb53480%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/team/team-1.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/team/team-1.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/about.html)
21:46:08	91172/91172	---M--	200	added ('OK')	image/jpeg	etag:%224cc14e0-16424-517f7dbd3b900%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/img/team/team-3.jpg	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/img/team/team-3.jpg	(from http://bootstraplovers.com/templates/bizwrap-v1.6/about.html)
21:46:08	2864/2864	---M--	200	added ('OK')	application/javascript	etag:%224cc19b6-b30-517f7d4e9b400%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/js/contact_me.js	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/js/contact_me.js	(from http://bootstraplovers.com/templates/bizwrap-v1.6/contact.html)
21:46:09	2707/2707	---M--	200	added ('OK')	image/gif	etag:%224cc1b07-a93-517f7ddf90a00%22	http://bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/style/loading-2.gif	/Users/alfance/websites/DME_V1/bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/style/loading-2.gif	(from http://bootstraplovers.com/templates/bizwrap-v1.6/assets/master-slider/style/masterslider.css)
